Artist;Exhibition Title ;Date;Gender;;;
Yin Xiuzhe;Projects 92: Yin Xiuzhe [MoMA Exh. 2109. February 24, 2010–May 24, 2010];2010;(Female);;;
Marina Abramović;Marina Abramović: The Artist is Present [MoMA Exh. #2112. March 14, 2010–May 31, 2010];2010;(Female);;;
Lee Bontecou;Lee Bontecou: All Freedom in Every Sense [MoMA Exh. #2116. April 16, 2010–September 6, 2010];2010;(Female);;;
Paula Hayes;Paula Hayes: Nocturne of the Limax Maximus [MoMA Exh. #2134A. November 17, 2010–April 18, 2011];2010;(Female);;;
Ernesto Neto;Ernesto Neto: Navedenga [MoMA Exh. #2105. January 20, 2010–April 5, 2010];2010;(Male);;;
William Kentridge;William Kentridge: Five Theme [MoMA Exh. #2108. February 24, 2010–May 17, 2010];2010;(Male);;;
William Kentridge;Performance 8: William Kentridge: “I am not me, the horse is not mine” [MoMA Exh. #2110. March 4, 2010];2010;(Male);;;
Bern Porter;"Lost and Found: The Work of Bern Porter from the Collection of The Museum of Modern Art Library [Cullman Exhibition, No. 17; organized by Library. April 7, 2010–July 26, 2010]";2010;(Male);;;
Pablo Picasso;Picasso: Themes and Variation [MoMA Exh. #2114. March 28, 2010–August 30, 2010];2010;(Male);;;
Henri Cartier-Bresson;Henri Cartier-Bresson: The Modern Century [MoMA Exh. #2115. April 11, 2010–June 28, 2010];2010;(Male);;;
Bruce Nauman;Bruce Nauman: “Days” [MoMA Exh. #2120. June 2, 2010–August 23, 2010];2010;(Male);;;
Dinh Q. Lê;Projects 93: Dinh Q. Lê [MoMA Exh. #2124. June 30, 2010–January 24, 2011];2010;(Male);;;
Henri Matisse;Matisse: Radical Invention, 1913–1917 [MoMA Exh. #2125. July 18, 2010–October 11, 2010];2010;(Male);;;
Andy Warhol;Andy Warhol: Motion Pictures [MoMA Exh. #2137. December 19, 2010–March 21, 2011];2010;(Male);;;
Alison Knowles;Performance 10: Alison Knowles, in conjunction with the exhibition, Contemporary Art from the Collection [MoMA Exh. #2140. January 20–February 4, 2011];2011;(Female);;;
Anne Teresa de Keersmaeker;Performance 13: On Line/Anne Teresa de Keersmaeker, in conjunction with the exhibition, On Line: Drawing Through the Twentieth Century [MoMA Exh. #2143. January 22–23, 2011];2011;(Female);;;
Kathryn Bigelow;Crafting Genre: Kathryn Bigelow [MoMA Exh. #2157. May 18, 2011–October 3, 2011];2011;(Female);;;
Runa Islam;Projects 95: Runa Islam [MoMA Exh. #2161. May 27, 2011–September 19, 2011];2011;(Female);;;
Haris Epaminonda;Projects 96: Haris Epaminonda [MoMA Exh. #2175. November 17, 2011–February 20, 2012];2011;(Female);;;
Sanja Iveković;Sanja Iveković: Sweet Violence [MoMA Exh. #2177. December 18, 2011–March 26, 2012];2011;(Female);;;
Henrik Olesen;Projects 94: Henrik Olesen [MoMA Exh. #2148. February 9, 2011–May 23, 2011];2011;(Male);;;
Pablo Picasso;Picasso: Guitars 1912–1914 [MoMA Exh. #2149. February 13, 2011–June 6, 2011];2011;(Male);;;
Francis Alÿs;Francis Alÿs: A Story of Deception [MoMA Exh. #2155. May 8, 2011–August 1, 2011];2011;(Male);;;
Cy Twombly;Cy Twombly: Sculpture [MoMA Exh. #2159. May 20, 2011–January 2, 2012];2011;(Male);;;
Boris Mikhailov;Boris Mikhailov: Case History [MoMA Exh. #2160. May 25, 2011–September 5, 2011];2011;(Male);;;
Harun Farocki;Harun Farocki: Images of War (at a Distance) [MoMA Exh. #2162. June 29, 2011–January 2, 2012];2011;(Male);;;
Carlito Carvalhosa;Carlito Carvalhosa: Sum of Days [MoMA Exh. #2168. August 24, 2011–November 14, 2011];2011;(Male);;;
Willem de Kooning;de Kooning: A Retrospective [MoMA Exh. #2169. September 18, 2011–January 9, 2012];2011;(Male);;;
Diego Rivera;Diego Rivera: Murals for The Museum of Modern Art [MoMA Exh. #2174. November 13, 2011–May 14, 2012];2011;(Male);;;
Cindy Sherman;Cindy Sherman [MoMA Exh. #2187. February 26, 2012–June 11, 2012];2012;(Female);;;
Andrea Zittell;The Modern Restaurant Window—Andrea Zittell [MoMA Exh. #2192. March 26, 2012–March 26, 2013];2012;(Female);;;
Paulina Olowska;Words in the World: Paulina Olowska: Alphabet [MoMA Exh. #2199. May 3, 2012–May 5, 2012];2012;(Female);;;
Taryn Simon;Taryn Simon: A Living Man Declared Dead and Other Chapters I–XVIII [MoMA Exh. #2201. May 2, 2012–September 3, 2012];2012;(Female);;;
Andrea Fraser;Performing Histories: Live Artworks Examining the Past: Andrea Fraser: “Men on the Line: Men Committed to Feminism, KPFK, 1972” in conjunction with the exhibition, Performing Histories (1) [MoMA Exh. #2212. September 12, 2012];2012;(Female);;;
Alina Szapocznikow;Alina Szapocznikow: Sculpture Undone, 1955–1972 [MoMA Exh. #2215. October 7, 2012–January 28, 2013];2012;(Female);;;
Deborah Hay;Some Sweet Day. Deborah Hay: “Blue” [MoMA Exh. #2216G. November 2, 3, 4, 2012];2012;(Female);;;
Sarah Michelson;Some Sweet Day. Sarah Michelson: “Devotion Study #3” [MoMA Exh. #2216H. November 2, 3, 4, 2012];2012;(Female);;;
Trisha Donnelly;Artist’s Choice: Trisha Donnelly [MoMA Exh. #2218. November 9, 2012–July 28, 2013];2012;(Female);;;
James Rosenquist;James Rosenquist: F-111 [MoMA Exh. #2180. January 25, 2012–July 30, 2012];2012;(Male);;;
Eugène Atget;Eugène Atget: “Documents Pour Artistes [MoMA Exh. #2183. February 3, 2012–April 9, 2012];2012;(Male);;;
Mark Boulos;Projects 97: Mark Boulos [MoMA Exh. #2191. March 19, 2012–July 16, 2012];2012;(Male);;;
Guy de Cointet;Words in the World: Guy de Cointet. Five Sisters and Espahor Iedet ko Uluner! [MoMA Exh. #2200. May 9, 2012 and May 10, 2012];2012;(Male);;;
Alighiero Boetti;Alighiero Boetti: Game Plan [MoMA Exh. #2205. July 1, 2012–October 1, 2012];2012;(Male);;;
Bruce Nauman;Bruce Nauman: The 1980s [MoMA Exh. #2210. August 22, 2012–June 23, 2013];2012;(Male);;;
Steve Paxton;Some Sweet Day. Steve Paxton’s Video Installation: “Weight of Sensation” [MoMA Exh. #2216A. October 15, 18, 19, 2012];2012;(Male);;;
Steve Paxton;Some Sweet Day. Steve Paxton: “State” and “Satisfyin’ Lover” [MoMA Exh. #2216B. October 17, 21, 2012];2012;(Male);;;
Jerome Bel;Some Sweet Day. Jerome Bel: “The Show Must Gone On” [MoMA Exh. #2216C. October 20, 21, 2012];2012;(Male);;;
Faustin Linyekula;Some Sweet Day. Faustin Linyekula: “What is Black Music Anyway…/Self Portraits” [MoMA Exh. #2216D. October 24, 27, 28, 2012];2012;(Male);;;
Kevin Beasley;Some Sweet Day. Kevin Beasley: “I Want My Spot Back” [MoMA Exh. #2216F. October 25, 26, 2012];2012;(Male);;;
Edvard Munch;Edvard Munch: The Scream [MoMA Exh. #2217. October 24, 2012–April 29, 2013];2012;(Male);;;
Christian Marclay;Christian Marclay—The Clock [MoMA Exh. # 2223. December 21, 2012–January 21, 2013];2012;(Male);;;
Simone Forti;Performing Histories: Live Artworks Examining the Past. Simone Forti: “King’s Fool” in conjunction with the exhibition, Performing Histories (1) [MoMA Exh. #2238. March 6, 2013–March 8, 2013];2013;(Female);;;
Tilda Swinton;Tilda Swinton: The Maybe [MoMA Exh. #2243. March 23, 25, April 17, 2013];2013;(Female);;;
Kerry Tribe;An Evening with Kerry Tribe [MoMA Exh. #2249. May 13, 2013];2013;(Female);;;
Carol Bove;Carol Bove: The Equinox [MoMA Exh. #2256. July 20, 2013–January 12, 2014];2013;(Female);;;
Dorothea Rockburne;Dorothea Rockburne: “Drawing Which Makes Itself” [MoMA Exh. #2263. September 21, 2013–January 20, 2014];2013;(Female);;;
Isa Genzken;Isa Genzken: Retrospective [MoMA Exh. #2269. November 23, 2013–March 10, 2013];2013;(Female);;;
Ileana Sonnabend;Ileana Sonnabend: Ambassador for the New [MoMA Exh. #2272. December 21, 2013–April 21, 2014];2013;(Female);;;
Meiro Koizumi;Projects 99: Meiro Koizumi [MoMA Exh. #2228. January 9, 2013–May 6, 2013];2013;(Male);;;
Seth Siegelaub;"“This is the way your leverage lies”: The Seth Siegelaub Papers as Institutional Critique [Cullman Exhibition, No. 26; organized by Museum Archives. January 9, 2013–March 4, 2013 ]";2013;(Male);;;
Wolfgang Laib;Wolfgang Laib [MoMA Exh. #2230. January 23, 2013–March 11, 2013];2013;(Male);;;
Fabian Barba;Performing Histories: Live Artworks Examining the Past. Fabian Barba: “A Mary Wigman Dance Evening,” in conjunction with the exhibition, Inventing Abstraction: 1910–1925 [MoMA Exh. #2232. February 1, 2013];2013;(Male);;;
Ei Arakawa;Performing Histories: Live Artworks Examining the Past. Ei Arakawa: “Paris and Wizard: The Musical,” in conjunction with the exhibition, Tokyo 1955–1970: A New Avant-Garde [MoMA Exh. #2233. February 6, 7, 2013];2013;(Male);;;
Trajal Harrel;Performing Histories: Live Artworks Examining the Past. Trajal Harrel: “Used, Abused, and Hung Out to Dry,” in conjunction with the exhibition, Tokyo 1955–1970: A New Avant-Garde [MoMA Exh. #2235. February 13, 14, 2013];2013;(Male);;;
Dieter Roth;Wait, Later this will be Nothing: Editions by Dieter Roth [MoMA Exh. #2236. February 17, 2013–June 24, 2013];2013;(Male);;;
George Maciunas;"Charting Fluxus: George Maciunas’s Ambitious Art History [Cullman Exhibition, No. 27; organized by Museum Archives. March 6, 2013–May 6, 2013 ]";2013;(Male);;;
Bill Brandt;Bill Brandt: Shadow and Light [MoMA Exh. #2239. March 6, 2013–August 12, 2013];2013;(Male);;;
Henri Labrouste;Henri Labrouste: Structure Brought to Light [MoMA Exh. #2240. March 10, 2013–June 24, 2013];2013;(Male);;;
Claes Oldenburg;"Claes Oldenburg: The Street and The Store; Claes Oldenburg: Mouse Museum/Ray Gun Wing [MoMA Exh. #2245. April 14, 2013–August 5, 2013]";2013;(Male);;;
Akram Zaatari;Projects 100: Akram Zaatari [MoMA Exh. #2247. May 11, 2013–September 23, 2013];2013;(Male);;;
Ellsworth Kelly;Ellsworth Kelly: Chatham Series [MoMA Exh. #2251. May 25, 2013–September 8, 2013];2013;(Male);;;
Le Corbusier;Le Corbusier: An Atlas of Modern Landscapes [MoMA Exh. #2252. June 15, 2013–September 23, 2013];2013;(Male);;;
Walker Evans;Walker Evans American Photographs [MoMA Exh. #2255. July 19, 2013–January 26, 2014];2013;(Male);;;
Olafur Eliasson;Olafur Eliasson—Ventilator [MoMA Exh. #2259. September 7, 2013–October 15, 2013];2013;(Male);;;
Brendan Fowler;“And Martin” performance by Brendan Fowler in conjunction with the exhibition, New Photography [MoMA Exh. #2261A. September 16, 2013];2013;(Male);;;
René Magritte;Magritte: The Mystery of the Ordinary 1926–1938 [MoMA Exh. #2262. September 28, 2013–January 12, 2014];2013;(Male);;;
Dante Ferretti;Dante Ferretti: Design and Construction for the Cinema [MoMA Exh. #2264. September 28, 2013–February 9, 2014];2013;(Male);;;
John Cage;There Will Never Be Silence: Scoring John Cage’s “4′33″ [MoMA Exh. #2266. October 12, 2013–June 22, 2014];2013;(Male);;;
Mike Kelley;Mike Kelley [MoMA Exh. #2267. October 13, 2013–February 2, 2014];2013;(Male);;;
Isaac Julien;Isaac Julien: Ten Thousand Waves [MoMA Exh. #2270. November 25, 2013–March 10, 2014];2013;(Male);;;
Munio Gitai Weinraub;Munio Gitai Weinraub: Revisiting a Kibbutz [MoMA Exh. #2271. October 24, 2013–January 22, 2014];2013;(Male);;;
Eszter Salamon;Eszter Salamon: Dance for Nothing [MoMA Exh. #2273. January 15, 2014 and January 16, 2014];2014;(Female);;;
Lygia Clark;Lygia Clark: The Abandoment of Art, 1948–1988 [MoMA Exh. #2286. May 10, 2014–August 24, 2014];2014;(Female);;;
Elaine Sturtevant;Sturtevant: Double Trouble [MoMA Exh. #2004. November 9, 2014–February 22, 2015];2014;(Female);;;
Frank Lloyd Wright;Frank Lloyd Wright and the City: Density vs. Dispersal [MoMA Exh. #2274. February 1, 2014–June 1, 2014];2014;(Male);;;
Paul Gauguin;Gauguin: Metamorphoses [MoMA Exh. #2277. March 8, 2014–June 8, 2014];2014;(Male);;;
Robert Heinecken;Robert Heinecken: Object Matter [MoMA Exh. #2280. March 15, 2014–September 7, 2014];2014;(Male);;;
Jasper Johns;Jasper Johns: Regrets [MoMA Exh. #2281. March 15, 2014–September 7, 2014];2014;(Male);;;
Sigmar Polke;Alibis: Sigmar Polke 1963–2010 [MoMA Exh. #2282. April 19, 2014–August 3, 2014];2014;(Male);;;
Edgardo Antonio Vigo;"The Unmaker of Objects: Edgardo Antonio Vigo’s Marginal Media [Cullman Exhibition No. 32; organized by Library. April 2, 2014–June 30, 2014]";2014;(Male);;;
Massimo Vignelli;The Subway and the City: Massimo Vignelli, 1931–2014 [MoMA Exh. #2288. July 3, 2014–October 20, 2014];2014;(Male);;;
