Artist;Exhibition Title ;Date;Gender;;;
Andy Holden;Art Now: Andy Holden [January 8, 2010- April 10, 2010];2010;(Male);;;
Pablo Bronstein;Art Now: Pablo Bronstein: Sculpture Court Commission [May 8 2010- October 17, 2010];2010;(Male);;;
Chris Ofili;Chris Ofili [January 27, 2010- 16 May, 2010];2010;(Male);;;
Giorgio Sadotti;Christmas tree 2010: Giorgio Sadotti: flower snake[December 9, 2010- January 5, 2011];2010;(Male);;;
Doug Fishbone;Doug Fishbone [October 9, 2010- January 3, 2011];2010;(Male);;;
Douglas Gordon;Douglas Gordon [February 16, 2010- May 23, 2010];2010;(Male);;;
Eadweard Muybridge;Eadweard Muybridge [September 8, 2010- January 16, 2010];2010;(Male);;;
Henry Moore;Henry Moore [February 24, 2010- August 8, 2010];2010;(Male);;;
Arshile Gorky;Arshile Gorky: a retrospective [February 10, 2010- May 3, 2010];2010;(Male);;;
Francis Alÿs;Francis Alÿs [June 15, 2010- September 5, 2010];2010;(Male);;;
Paul Gaugin;Gaugin [September 30, 2010- January 16, 2011];2010;(Male);;;
Alejandro Cesarco;Level 2 gallery: Alejandro Cesarco. Present Memory [July 10, 2010- October 31, 2010];2010;(Male);;;
Michael Rakowitz;Level 2 gallery: Michael Rakowitz [January 22, 2010- May 12, 2010];2010;(Male);;;
Martin Karlsson;Martin Karlsson: London – an imagery [March 3, 2010- December 31, 2010];2010;(Male);;;
Ai Weiwei;The Unilever Series: Ai Weiwei: Sunflower Seeds [October 12, 2010- May 2, 2011];2010;(Male);;;
Theo van Doesburg;van Doesburg and the international avant-garde [February 4, 2010- May 16, 2010];2010;(Male);;;
Dexter Dalwood;Dexter Dalwood and the Tate collection [January 23, 2010- May 3, 2010];2010;(Male);;;
Peter Lanyon;Peter Lanyon [October 9, 2010- January 23, 2011];2010;(Male);;;
Nam June Paik;Nam June Paik [December 17, 2010- March 13, 2011];2010;(Male);;;
Pablo Picasso;Picasso: Peace and Freedom [April 21, 2010- August 30, 2010];2010;(Male);;;
Janice Kerbel;Art Now: Janice Kerbel [May 7, 2010- August 15, 2010];2010;(Female);;;
Laure Prouvost;Art Now Lightbox: Laure Prouvost: it, heat, hit 2010 [March 6, 2010- May 2, 2010];2010;(Female);;;
Fiona Banner;Fiona Banner: Tate Britain Duveens commission 2010 [June 28, 2010- January 3, 2011];2010;(Female);;;
Rachel Whiteread;Rachel Whiteread drawings [September 8, 2010- January 16, 2010];2010;(Female);;;
Haris Epaminonda;Level 2 gallery: Haris Epaminonda, Vol. VI [May 29, 2010- August 30, 2010];2010;(Female);;;
Rosa Barba;Level 2 gallery: Rosa Barba [September 15, 2010- January 8, 2011];2010;(Female);;;
Lily van der Stokker;Lily van der Stokker: no big deal thing [May 15, 2010- September 26, 2010];2010;(Female);;;
Corin Sworn;Art Now: Corin Sworn [June 27, 2011- September 25, 2011];2011;(Female);;;
Susan Hiller;Susan Hiller [February 1, 2011- May 15, 2011];2011;(Female);;;
Tacita Dean;The Unilever Series: Tacita Dean: FILM [Ocotber 11, 2011- March 11, 2012];2011;(Female);;;
Ed Atkins;Art Now: Ed Atkins [Ocotber 8, 2011- January 22, 2012];2011;(Male);;;
Barry Flanagan;Barry Flanagan: Early Works 1965–1982 [September 27, 2011- January 2, 2012];2011;(Male);;;
James Stirling;James Stirling: Notes from the Archive [April 5, 2011- August 21, 2011];2011;(Male);;;
John Martin;John Martin: Apocalypse [September 21, 2011- January 15, 2012];2011;(Male);;;
Gabriel Orozco;Gabriel Orozco [January 19, 2011- April 25, 2011];2011;(Male);;;
Gerhard Richter;Gerhard Richter: Panorama [October 6, 2011- January 8, 2012];2011;(Male);;;
Miró;Miró: The Ladder of Escape [April 14, 2011- September 11, 2011];2011;(Male);;;
Simon Starling;Simon Starling: Recent History [February 5, 2011- May 2, 2011];2011;(Male);;;
René Magritte;René Magritte: The Pleasure Principle [June 24, 2011- October 16, 2011];2011;(Male);;;
Becky Beasley;Art Now: Becky Beasley, The Outside [April 6, 2012- November 2, 2012];2012;(Female);;;
Jess Flood-Paddock;Art Now: Jess Flood-Paddock [November 17, 2012- January 6, 2013];2012;(Female);;;
Anne Teresa De Keersmaeker;Anne Teresa De Keersmaeker: Fase: Four Movements to the Music of Steve Reich [July 18, 2012-July 20, 2012];2012;(Female);;;
Haegue Yang;Haegue Yang: Dress Vehicles [September 11, 2012- September 16, 2012];2012;(Female);;;
Tania Bruguera;Tania Bruguera: Immigrant Movement International [August 7, 2012- August 15, 2012];2012;(Female);;;
Yayoi Kusama;Yayoi Kusama [February 9, 2012- June 5, 2012];2012;(Female);;;
Charline von Heyl;Charline von Heyl [February 24, 2012- May 27, 2012];2012;(Female);;;
Patrick Keiller;Patrick Keiller The Robinson Institute: Tate Britain Commission 2012 [March 27, 2012- October 14, 2012];2012;(Male);;;
Pablo Picasso;Picasso & Modern British Art [February 15, 2012- July 15, 2012];2012;(Male);;;
Aldo Tambellini;Aldo Tambellini: Retracing Black [October 9, 2012- October 14, 2012];2012;(Male);;;
Alighiero Boetti;Alighiero Boetti: Game Plan [February 28, 2012- May 27, 2012];2012;(Male);;;
Boris Charmatz;Boris Charmatz: Flip Book [September 25, 2012- September 28, 2012];2012;(Male);;;
Damien Hirst;Damien Hirst [April 4, 2012- September 9, 2012];2012;(Male);;;
Edvard Munch;Edvard Munch: The Modern Eye [June 28, 2012- October 14, 2012];2012;(Male);;;
Ei Arakawa;Ei Arakawa: Joy of life and single's night [July 24, 2012- August 5, 2012];2012;(Male);;;
Jeff Keen;Jeff Keen [September 18, 2012- September 25, 2012];2012;(Male);;;
Juan Downey;Juan Downey [October 23, 2012- October 26, 2012];2012;(Male);;;
Olafur Eliasson;Olafur Eliasson: Little Sun [July 28, 2012- September 23, 2012];2012;(Male);;;
Rasheed Araeen;Rasheed Araeen, Zero to Infinity [December 10, 2012- January 20, 2013];2012;(Male);;;
Sung Hwan Kim;Sung Hwan Kim [July 18, 2012- November 18, 2012];2012;(Male);;;
William Kentridge;William Kentridge: I am not me, the horse is not mine [November 11, 2012- January 20, 2013];2012;(Male);;;
Alex Katz;Alex Katz: Give Me Tomorrow [May 19, 2012- September 23, 2012];2012;(Male);;;
Simon Fujiwara;Simon Fujiwara: Since 1982 [January 18, 2012- May 7, 2012];2012;(Male);;;
Matt Saunders;Matt Saunders: Century Rolls [November 16, 2012- January 20, 2013];2012;(Male);;;
Doug Aitken;Sky Arts Ignition: Doug Aitken – The Source [September 15, 2012- January 13, 2013];2012;(Male);;;
Tino Sehgal;The Unilever Series: Tino Sehgal 2012 [July 24, 2012- Ocotber 28, 2012];2012;(Male);;;
Ellen Gallagher;Ellen Gallagher: AxME [May 1, 2013- September 1, 2013];2013;(Female);;;
Mira Schendel;Mira Schendel [September 25, 2013- January 19, 2014];2013;(Female);;;
Saloua Raouda Choucair;Saloua Raouda Choucair [April 17, 2013- November 17, 2013];2013;(Female);;;
Moyra Davey;Moyra Davey: Hangmen of England [June 8, 2013- Ocotber 6, 2013];2013;(Female);;;
Sylvia Sleigh;Sylvia Sleigh [February 8, 2013- May 3, 2013];2013;(Female);;;
Gary Hume;Gary Hume [June 5, 2013- September 1, 2013];2013;(Male);;;
Lowry;Lowry and the Painting of Modern Life [June 26, 2013- October 20, 2013];2013;(Male);;;
Patrick Caulfield;Patrick Caulfield [June 5, 2013- September 1, 2013];2013;(Male);;;
Kurt Schwitters;Schwitters in Britain [January 30, 2013- May 12, 2013];2013;(Male);;;
Simon Starling;Tate Britain Commission 2013: Simon Starling Phantom Ride [March 12, 2013- October 20, 2013];2013;(Male);;;
Ibrahim El-Salahi;Ibrahim El-Salahi: A Visionary Modernist [July 3, 2013- September 22, 2013];2013;(Male);;;
Roy Lichtenstein;Lichtenstein: A Retrospective [February 21, 2013- May 27, 2013];2013;(Male);;;
Meschac Gaba;Meschac Gaba: Museum of Contemporary African Art [July 3, 2013- September 22, 2013];2013;(Male);;;
Paul Klee;The EY Exhibition: Paul Klee – Making Visible [Ocotber 16, 2013- March 9, 2014];2013;(Male);;;
Peter Fraser;Peter Fraser [January 26, 2013- May 6, 2013];2013;(Male);;;
William Scott;William Scott [January 26, 2013- May 6, 2013];2013;(Male);;;
Marc Chagall;Chagall: Modern Master [June 8, 2013- October 6, 2013];2013;(Male);;;
Phyllida Barlow ;Tate Britain Commission 2014: Phyllida Barlow (31.03.14-19.10.14);2014;(Female);;;
Gretchen Bender;Gretchen Bender (07.11.14-08.02.15);2014;(Female);;;
Nasreen Mohamedi;Nasreen Mohamedi (06.06.14-05.10.14);2014;(Female);;;
Richard Deacon;Richard Deacon [February 5, 2014- April 27, 2014];2014;(Male);;;
Richard Hamilton;Richard Hamilton [February 13, 2014- May 26, 2014];2014;(Male);;;
Richard Hawkins;Richard Hawkins: Hijikata Twist [February 28, 2014- May 11, 2014];2014;(Male);;;
