Work Number;Artists;Title;Date;Date (Acquisition);Credit Line;Prize in £ (Original Prize); Prize normed ; Gender ;
;ABIDI, Bani born 1971;Reserved (2006);;2014-2015;purchased;14,400; 14.400,00   ; (Female) ;
;AHERN, John H.;Tram Stop, London (c.1930);;2014-2015;presented;1,600 *; 1.600,00   ; (Male) ;
;AHERN, John H.;Streetcar Stop, London (c.1930);;2014-2015;presented;1,600 *; 1.600,00   ; (Male) ;
;AHERN, John H.;Warning! (c.1930);;2014-2015;presented;2,000 *; 2.000,00   ; (Male) ;
;AHERN, John H.;Fun of the fair (c.1939);;2014-2015;presented;2,000 *; 2.000,00   ; (Male) ;
;AHERN, John H.;Berwick Street Market (c.1930);;2014-2015;presented;1,600 *; 1.600,00   ; (Male) ;
;AINSLIE, Sarah;Shoreditch, London (1998);;2014-2015;presented;500 *; 500,00   ; (Female) ;
;AINSLIE, Sarah;Shoreditch, London (1998);;2014-2015;presented;500 *; 500,00   ; (Female) ;
;AINSLIE, Sarah;Smithfield, London (1998);;2014-2015;presented;500 *; 500,00   ; (Female) ;
;AINSLIE, Sarah;Smithfield, London (1998);;2014-2015;presented;500 *; 500,00   ; (Female) ;
;AINSLIE, Sarah;Shoreditch, London (1998);;2014-2015;presented;500 *; 500,00   ; (Female) ;
;AKOMFRAH, John born 1957;The Unfinished Conversa[on (2012);;2014-2015;purchased;200,000; 200.000,00   ; (Male) ;
;AINSLIE, Sarah;Sabra and Sha[la Massacre (1982-3);;2014-2015;purchased;500,000; 500.000,00   ; (Female) ;
;ARAKI, Nobuyoshi born 1940;Past Tense (c.1970s);;2014-2015;purchased;Yen 15,000,000; 83.250,00   ; (Male) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Dialec[cal Materialism (1975);;2014-2015;purchased;103,500; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
